,Bird Species,Count,Location,Time Period
207,Black-naped oriole,0,Collared Kingfisher---Grass patch betweem AS8 and AS2,1036
208,Rock pigeon,0,Collared Kingfisher---Grass patch betweem AS8 and AS2,1036
209,Yellow-vented bulbul,2,Collared Kingfisher---Grass patch betweem AS8 and AS2,1036
210,Javan myna,9,Collared Kingfisher---NUS Carpark 11 behind BIZ2,1102
211,Olive-backed sunbird,0,Collared Kingfisher---NUS Carpark 11 behind BIZ2,1102
212,Black-naped oriole,0,Collared Kingfisher---NUS Carpark 11 behind BIZ2,1102
213,Rock pigeon,0,Collared Kingfisher---NUS Carpark 11 behind BIZ2,1102
214,Yellow-vented bulbul,1,Collared Kingfisher---NUS Carpark 11 behind BIZ2,1102
215,Javan myna,2,Collared Kingfisher---NUS Carpark 11 next to Singapore Synchroton Light Source,1114
216,Olive-backed sunbird,0,Collared Kingfisher---NUS Carpark 11 next to Singapore Synchroton Light Source,1114
217,Black-naped oriole,1,Collared Kingfisher---NUS Carpark 11 next to Singapore Synchroton Light Source,1114
218,Rock pigeon,0,Collared Kingfisher---NUS Carpark 11 next to Singapore Synchroton Light Source,1114
219,Yellow-vented bulbul,1,Collared Kingfisher---NUS Carpark 11 next to Singapore Synchroton Light Source,1114
220,Javan myna,1,Collared Kingfisher---Stairs to King Edward VII Hall,1139
221,Olive-backed sunbird,0,Collared Kingfisher---Stairs to King Edward VII Hall,1139
222,Black-naped oriole,0,Collared Kingfisher---Stairs to King Edward VII Hall,1139
223,Rock pigeon,2,Collared Kingfisher---Stairs to King Edward VII Hall,1139
224,Yellow-vented bulbul,0,Collared Kingfisher---Stairs to King Edward VII Hall,1139
225,Javan myna,1,"Collared Kingfisher---Prince Georges' Park, overlooking basketball court",1154
226,Olive-backed sunbird,4,"Collared Kingfisher---Prince Georges' Park, overlooking basketball court",1154
227,Black-naped oriole,1,"Collared Kingfisher---Prince Georges' Park, overlooking basketball court",1154
228,Rock pigeon,0,"Collared Kingfisher---Prince Georges' Park, overlooking basketball court",1154
229,Yellow-vented bulbul,1,"Collared Kingfisher---Prince Georges' Park, overlooking basketball court",1154
230,Javan myna,0,"Spotted Wood Owl---Synchrotron Light Source, Research Link",1031
231,Olive-backed sunbird,2,"Spotted Wood Owl---Synchrotron Light Source, Research Link",1031
232,Black-naped oriole,0,"Spotted Wood Owl---Synchrotron Light Source, Research Link",1031
233,Rock pigeon,0,"Spotted Wood Owl---Synchrotron Light Source, Research Link",1031
234,Yellow-vented bulbul,0,"Spotted Wood Owl---Synchrotron Light Source, Research Link",1031
235,Javan myna,2,Spotted Wood Owl---NUS Enterprise,1052
236,Olive-backed sunbird,1,Spotted Wood Owl---NUS Enterprise,1052
237,Black-naped oriole,0,Spotted Wood Owl---NUS Enterprise,1052
238,Rock pigeon,0,Spotted Wood Owl---NUS Enterprise,1052
239,Yellow-vented bulbul,0,Spotted Wood Owl---NUS Enterprise,1052
240,Javan myna,4,"Spotted Wood Owl---West of NUH, Medical Dr",1202
241,Olive-backed sunbird,2,"Spotted Wood Owl---West of NUH, Medical Dr",1202
242,Black-naped oriole,0,"Spotted Wood Owl---West of NUH, Medical Dr",1202
243,Rock pigeon,0,"Spotted Wood Owl---West of NUH, Medical Dr",1202
244,Yellow-vented bulbul,0,"Spotted Wood Owl---West of NUH, Medical Dr",1202
245,Javan myna,1,Asian Koel---Utown bus stop (opp New Town Sec Sch),0940
246,Olive-backed sunbird,0,Asian Koel---Utown bus stop (opp New Town Sec Sch),0940
247,Black-naped oriole,0,Asian Koel---Utown bus stop (opp New Town Sec Sch),0940
248,Rock pigeon,0,Asian Koel---Utown bus stop (opp New Town Sec Sch),0940
249,Yellow-vented bulbul,0,Asian Koel---Utown bus stop (opp New Town Sec Sch),0940
250,Javan myna,2,Asian Koel---YNC Grass Patch,0953
251,Olive-backed sunbird,0,Asian Koel---YNC Grass Patch,0953
252,Black-naped oriole,0,Asian Koel---YNC Grass Patch,0953
253,Rock pigeon,0,Asian Koel---YNC Grass Patch,0953
254,Yellow-vented bulbul,1,Asian Koel---YNC Grass Patch,0953
255,Javan myna,0,Asian Koel---Steps outside RC4,1005
256,Olive-backed sunbird,0,Asian Koel---Steps outside RC4,1005
257,Black-naped oriole,0,Asian Koel---Steps outside RC4,1005
258,Rock pigeon,0,Asian Koel---Steps outside RC4,1005
259,Yellow-vented bulbul,4,Asian Koel---Steps outside RC4,1005
260,Javan myna,2,"Asian Koel---Junction of ERC, YNC, Cinnamon",1045
